CustomerID,FirstName,LastName,Email,Age,Phone,JoinDate
3320,Chelsea,Green,davischeryl@williams.com,-1,319.265.1129x55973,2022-03-05
4849,Barbara,Jones,brockalice@taylor.com,-1,001-479-526-3212,2024-03-12
9695,Tonya,Castro,dcobb@hotmail.com,-1,(651)657-2715,2022-01-04
1003,Sheryl,Moore,leah78@williams.info,71,(649)953-9023x76534,2021-04-14
1003,Victoria,Serrano,,68,(306)838-5790x39911,2022-10-20
1279,Michael,Gonzalez,harveydavid@patel-chan.com,81,(573)799-2361x54913,2025-03-24
8923,Alexander,Wilson,andrewlewis@yahoo.com,999,(723)772-3057,2021-02-04
8869,Sean,,lauren46@wilson.org,-1,560.496.2258x0552,2021-07-21
4668,Howard,Price,reillyjoshua@hotmail.com,-1,452.679.1782x481,2024-06-09
7862,Amanda,,christinegarcia@roberts.com,-1,660.416.9482,2022-02-10
1364,Tonya,Soto,,999,,2024-10-18
8502,Alexis,Gutierrez,carlos59@gmail.com,-1,094-846-2622x60926,2022-04-15
2785,Chad,Hall,caseybrad@gmail.com,999,001-094-623-3521x39689,2022-01-01
2046,,,vjacobs@gmail.com,20,385-832-4277x22273,2025-04-05
4597,Shelby,Zavala,wayne04@sandoval.biz,85,001-884-201-9998x06242,2021-08-30
5597,Nathan,Mendoza,skinneramy@gmail.com,999,356-797-2985,2021-07-01
9003,Cindy,Lozano,tony19@davis.com,-1,369-123-7095,2023-10-26
7254,Cristina,Donovan,annamercer@collins.com,28,061.969.4884,2021-11-03
1003,Charles,,austinshepherd@lee.com,999,728-299-9832x276,2022-05-02
4021,James,Martinez,kevinmartinez@hotmail.com,56,6766510973,not available
2336,Brian,Colon,paultaylor@yahoo.com,60,279.547.3087x4890,2022-04-02
1926,Malik,Davis,fisherericaward-king.com,87,(576)946-1946x8094,2020-10-15
3955,Susan,Boyle,samanthamclaughlin@gmail.com,31,001-505-805-4642x247,2022-01-11
2702,Catherine,Davis,gsparks@lewis.com,48,246.448.2036,2022-11-30
3103,Paul,Berg,barberheather@yahoo.com,-1,589-880-1078,2022-03-03
6433,Tonya,Young,ggarza@gmail.com,70,001-419-570-6266x38210,2023-04-18
9315,Matthew,Brown,matthew05@gmail.com,30,(050)965-3272,2020-11-27
1620,,Greene,cynthiapetty@yahoo.com,12,613-427-6863,2025-01-07
1596,Patricia,Rodriguez,erush@gmail.com,-1,584-040-1953x306,2022-04-20
4494,Angelica,Cox,iwilliams@carter-foster.com,-1,835.088.3441x2389,not available
6402,Kevin,Wolfe,derek10@yahoo.com,57,,2023-03-02
4722,Michael,Byrd,wmendoza@green.com,66,,2022-04-08
4394,Jeffrey,Moreno,brookelopez@gmail.com,-1,001-161-043-2779x365,2024-01-02
1763,,Benson,bryantbrianna@mitchell.com,71,6212179726,2021-05-17
5764,Danielle,Horton,wturner@smith.org,-1,351-729-9123,2024-09-01
2209,,Carter,kestes@gmail.com,48,(820)629-4254,2024-05-19
5275,Kenneth,Galloway,,56,203-768-3861x5965,2022-12-26
3368,Jared,Henry,mariashotmail.com,67,(019)395-3854x420,2025-06-02
2477,Pamela,Russell,jdean@hotmail.com,-1,179.996.4116,2021-10-15
4384,Jamie,Wagner,misty00@yahoo.com,999,+1-542-517-6348x88580,2023-10-06
5112,Kara,Fernandez,,78,001-140-335-5842x096,2025-03-23
1003,Lisa,Mullins,david00@hotmail.com,999,(648)867-3093,2020-12-30
5688,Sarah,Wood,sharon13@gmail.com,999,754.362.2095,2023-01-13
1245,Kenneth,,leesean@gmail.com,83,095.944.7053,2023-06-14
3878,Debra,Ruiz,lvelazquez@thompson-hernandez.org,55,001-975-397-4831,2024-11-22
9487,Sheri,,antonio79@hotmail.com,-1,(023)825-8659x53962,2023-09-18
1296,Jonathan,Clark,olivia02@cross-grant.com,-1,(234)545-1751,2021-04-21
5851,Robert,Gray,connie50@yahoo.com,-1,(220)596-2123x270,2023-05-05
1003,David,,wwu@gmail.com,-1,,2022-05-14
4480,Ashley,Waller,,999,544.995.9510x13755,2023-05-11
8161,Jose,Ray,chadpeters@hotmail.com,85,+1-949-658-9177x623,2025-05-04
9977,Craig,Williams,wrightkathleen@gmail.com,47,+1-357-567-9855x94848,not available
